grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, topspin16-4.txt, "0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15", 2, 840, 2.6e-05, 3.23077e+07
X, dfid, topspin16-4.txt, "11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15", na, na, na, na
X, dfid, topspin16-4.txt, "7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15", 6, 4957574, 0.146305, 3.38852e+07
X, dfid, topspin16-4.txt, "11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15", 8, 368003453, 10.9571, 3.3586e+07
X, dfid, topspin16-4.txt, "13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15", 10, 9790304757, 290.636, 3.36858e+07
X, dfid, topspin16-4.txt, "12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15", na, na, na, na
X, dfid, topspin16-4.txt, "3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15", 6, 3198086, 0.09616, 3.3258e+07
X, dfid, topspin16-4.txt, "14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15", 2, 1566, 4.6e-05, 3.40435e+07
X, dfid, topspin16-4.txt, "3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15", 8, 123018547, 3.61959, 3.39869e+07
X, dfid, topspin16-4.txt, "4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15", 8, 292202939, 8.67605, 3.36792e+07
X, dfid, topspin16-4.txt, "7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15", na, na, na, na
X, dfid, topspin16-4.txt, "2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15", 8, 417130081, 12.2754, 3.39811e+07
X, dfid, topspin16-4.txt, "0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15", 4, 92778, 0.002824, 3.28534e+07
X, dfid, topspin16-4.txt, "14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15", 4, 70929, 0.002079, 3.41169e+07
X, dfid, topspin16-4.txt, "0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15", 10, 6190570892, 184.558, 3.35427e+07
X, dfid, topspin16-4.txt, "5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15", 8, 75314008, 2.21305, 3.40317e+07
X, dfid, topspin16-4.txt, "14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15", na, na, na, na
X, dfid, topspin16-4.txt, "6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15", 4, 100650, 0.003037, 3.31413e+07
X, dfid, topspin16-4.txt, "5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15", 4, 17016, 0.000511, 3.32994e+07
X, dfid, topspin16-4.txt, "0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15", 4, 85873, 0.002496, 3.44042e+07
X, dfid, topspin16-4.txt, "2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15", 10, 7706279393, 224.117, 3.43851e+07
X, dfid, topspin16-4.txt, "13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15", 8, 607827078, 17.8618, 3.40295e+07
X, dfid, topspin16-4.txt, "9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15", na, na, na, na
X, dfid, topspin16-4.txt, "3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15", na, na, na, na
X, dfid, topspin16-4.txt, "8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15", 6, 2180953, 0.063584, 3.43003e+07
X, dfid, topspin16-4.txt, "6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15", 8, 85801004, 2.47017, 3.47349e+07
X, dfid, topspin16-4.txt, "5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15", na, na, na, na
X, dfid, topspin16-4.txt, "4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15", 6, 4774743, 0.141668, 3.37038e+07
X, dfid, topspin16-4.txt, "4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15", na, na, na, na
X, dfid, topspin16-4.txt, "13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15", na, na, na, na
X, dfid, topspin16-4.txt, "7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15", na, na, na, na
X, dfid, topspin16-4.txt, "4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15", 6, 1467569, 0.043416, 3.38025e+07
X, dfid, topspin16-4.txt, "14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15", 2, 420, 1.5e-05, 2.8e+07
X, dfid, topspin16-4.txt, "0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15", 4, 89870, 0.002706, 3.32114e+07
X, dfid, topspin16-4.txt, "3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15", 6, 7341122, 0.222192, 3.30395e+07
X, dfid, topspin16-4.txt, "4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15", 4, 61361, 0.001835, 3.34392e+07
X, dfid, topspin16-4.txt, "14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15", 4, 60003, 0.00179, 3.35212e+07
X, dfid, topspin16-4.txt, "2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15", na, na, na, na
X, dfid, topspin16-4.txt, "0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15", na, na, na, na
X, dfid, topspin16-4.txt, "2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15", na, na, na, na
X, dfid, topspin16-4.txt, "14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15", 4, 72527, 0.002104, 3.4471e+07
X, dfid, topspin16-4.txt, "0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15", 8, 428545165, 12.7284, 3.36685e+07
X, dfid, topspin16-4.txt, "0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15", 6, 3451062, 0.103294, 3.34101e+07
X, dfid, topspin16-4.txt, "0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15", 4, 64219, 0.001916, 3.35172e+07
X, dfid, topspin16-4.txt, "2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15", na, na, na, na
X, dfid, topspin16-4.txt, "3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15", 8, 222640895, 6.51559, 3.41705e+07
